Puesto,Ciudad,Porcentaje Pobreza Total 2007,Porcentaje Pobreza Extrema 2007
Pobreza Baja,Pobreza Baja,Pobreza Baja,Pobreza Baja
1°,Paita,14.10%,0.50%
2°,Tumbes,14.80%,0.70%
3°,Ica,14.83%,14.83%
4°,Madre de Dios,16.10%,1.80%
5°,Mollendo,17.20%,1.70%
6°,Chimbote,17.45%,14.83%
7°,Lima-Callao,18.08%,0.83%
8°,Nazca,19.10%,0.50%
9°,Pisco,19.10%,0.40%
10°,Ilo,19.30%,2.70%
11°,Tacna,19.31%,1.85%
12°,Casa Grande,19.50%,1.50%
13°,Trujillo,19.85%,1.90%
Pobreza Medio Baja,Pobreza Medio Baja,Pobreza Medio Baja,Pobreza Medio Baja
14°,Paramonga,20.50%,1.30%
15°,Arequipa,20.98%,2.58%
16°,Chincha Alta,21.90%,0.45%
17°,Moquegua,22.16%,3.80%
18°,Huacho,22.20%,1.37%%
19°,Tumán,22.50%,2.30%
20°,Pacasmayo,23.70%,1.90%
21°,Casma,24.30%,2.60%
22°,Talara,24.48%,1.30%
23°,Piura,25.03%,3.27%
24°,Puno,26.40%,2.80%
25°,Mala,26.70%,1.50%
26°,Chepen,26.80%,2.90%
27°,Tarapoto,27.14%,6.53%
28°,Chiclayo,27.52%,3.70%
29°,Sechura,27.90%,3.30%
30°,Majes,28.10%,3.90%
31°,Cusco,28.20%,1.30%
32°,Chancay,28.80%,2.50%
33°,Jaén,29.90%,9.40%
34°,Cañete,30.10%,3.60%
35°,Barranca,30.60%,3.40%
36°,Querecotillo,30.90%,2.30%
37°,Santa Ana,31.10%,5.30%
38°,Huancayo,31.17%,5.05%
39°,Satipo,31.60%,11.50%
40°,Abancay,32.00%,7.10%
41°,Huaral,32.20%,3.70%
42°,Cajamarca,32.90%,11.70%
43°,Chanchamayo,33.50%,6.80%
44°,Huaraz,33.66%,7.49%
45°,Chachapoyas,33.80%,7.90%
46°,Lambayeque,34.00%,4.90%
47°,Huánuco,34.12%,7.71%
48°,Pucallpa,34.25%,10.41%
49°,Marcavelica,34.60%,3.40%
50°,Ferreñafe,34.80%,4.80%
51°,Perene,34.90%,13.60%
53°,Tarma,35.40%,6.50%
54°,Juanjuí,37.40%,11.40%
55°,Huaura,37.50%,5.20%
56°,Iquitos,37.68%,10.52%
57°,Chulucanas,37.70%,8.50%
58°,Pichanaqui,37.81%,18.20%
59°,Guadalupe,38.50%,6.10%
60°,Paiján,39.90%,5.90%
Pobreza Media,Pobreza Media,Pobreza Media,Pobreza Media
61°,Bagua,40.20%,10.20%
62°,Sullana,41.18%,8.01%
63°,Juliaca,42.00%,6.00%
64°,Ayacucho,44.07%,14.39%
65°,Bagua Grande,47.70%,13.60%
66°,Virú,48.60%,8.90%
67°,Cerro de Pasco,49.02%,14.35%
68°,Ilave,50.52%,24.00%
69°,Moyobamba,51.20%,19.10%
70°,Monsefú,51.50%,11.40%
71°,Sicuani,55.70%,11.40%
72°,La Unión,55.60%,11.10%
73°,Yauli,56.30%,22.70%
74°,Andahuaylas,56.70%,19.20%
75°,Nueva Cajamarca,58.50%,22.90%
76°,Yurimaguas,59.60%,25.00%
77°,Requena,62.80%,27.10%
Pobreza Media Alta,Pobreza Media Alta,Pobreza Media Alta,Pobreza Media Alta
78°,Huanta,71.10%,38.20%
79°,La Arena,71.70%,20.9%
80°,Huamachuco,75.00%,32.30%
Total,Perú,34.8%,11.5%
